tissue	cell_type_major	cell_type_minor	cell_type_subset	exp	markers
Immune	T cell	T cell CD4+	T cell (Tfh)	pos	"CD3D,CD3E,CD3G,CD4,B3GAT1,BCL6,BTLA,CD40LG,CD84,CXCR4,CXCR5,ICOS,IL6R,MAF,MME,PDCD1,SLAMF1,STAT3,TNFRSF4"
Immune	T cell	T cell CD4+	T cell (Tfh)	neg	"CD14,CD19,CD8A,CD8B,SELL,IL7R"
Immune	T cell	T cell CD4+	T cell (Tfh)	sec	"CXCL13,IFNG,IL10,IL17A,IL17F,IL21,IL4"
Immune	T cell	T cell CD4+	T cell (Th1)	pos	"CD3D,CD3E,CD3G,CD4,CCR1,CCR5,CXCR3,IFNGR1,IFNGR2,IL12RB2,IL18R1,IL27RA,STAT1,STAT4,TBX21"
Immune	T cell	T cell CD4+	T cell (Th1)	neg	"CD14,CD19,CD8A,CD8B,SELL,IL7R"
Immune	T cell	T cell CD4+	T cell (Th1)	sec	"IFNG,IL2,LTA,TNF"
Immune	T cell	T cell CD4+	T cell (Th2)	pos	"CD3D,CD3E,CD3G,CD4,CCR3,CCR4,CCR8,CRLF2,CXCR4,GATA3,IL17RB,IL4R,IRF4,IL1RL1,STAT5A,STAT5B,STAT6"
Immune	T cell	T cell CD4+	T cell (Th2)	neg	"CD14,CD19,CD8A,CD8B,SELL,IL7R"
Immune	T cell	T cell CD4+	T cell (Th2)	sec	"IL4,IL5,IL9,IL10,IL13,IL21"
Immune	T cell	T cell CD4+	T cell (Th9)	pos	"CD3D,CD3E,CD3G,CD4,IL17RB,IL4R,IRF4,SPI1,TGFBR2"
Immune	T cell	T cell CD4+	T cell (Th9)	neg	"CD14,CD19,CD8A,CD8B,SELL,IL7R"
Immune	T cell	T cell CD4+	T cell (Th9)	sec	"CCL17,CCL22,IL9"
Immune	T cell	T cell CD4+	T cell (Th17)	pos	"CD3D,CD3E,CD3G,CD4,BATF,CCR4,CCR6,IL1R1,IL21R,IL23R,IL6R,IRF4,RORA,RORC,STAT3,TGFBR2"
Immune	T cell	T cell CD4+	T cell (Th17)	neg	"CD14,CD19,CD8A,CD8B,SELL,IL7R"
Immune	T cell	T cell CD4+	T cell (Th17)	sec	"CCL20,IL17A,IL17F,IL21,IL22,IL26"
Immune	T cell	T cell CD4+	T cell (Th22)	pos	"CD3D,CD3E,CD3G,CD4,AHR,BATF,CCR10,CCR4,CCR6,IL6R,STAT3,TGFBR2,TNFRSF1A"
Immune	T cell	T cell CD4+	T cell (Th22)	neg	"CD14,CD19,CD8A,CD8B,SELL,IL7R,KLRB1"
Immune	T cell	T cell CD4+	T cell (Th22)	sec	"CCL7,CCL15,FGF1,FGF2,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9"
Immune	T cell	T cell CD4+	T cell (Treg)	pos	"CD3D,CD3E,CD3G,CD4,CD5,CTLA4,ENTPD1,FOXP3,IKZF2,IL10,IL2RA,ITGAE,IZUMO1R,LAG3,LAP3,LGALS1,LRRC32,NRP1,NT5E,SELL,STAT5A,STAT5B,TGFB1,TGFB2,TGFB3,TNFRSF4,TNFRSF18"
Immune	T cell	T cell CD4+	T cell (Treg)	neg	"CD14,CD19,CD8A,CD8B"
Immune	T cell	T cell CD4+	T cell (Treg)	sec	"IL10,LGALS1,TGFB1,TGFB2,TGFB3,EBI3,IL12A"
Immune	T cell	T cell CD4+	T cell (Naive)	pos	"CD3D,CD3E,CD3G,CD4,CCR7,SELL,IL7R,LEF1"
Immune	T cell	T cell CD4+	T cell (Naive)	neg	"CD14,CD19,CD8A,CD8B,CD69,IL2RA,KLRG1"
Immune	T cell	T cell CD8+	T cell (Cytotoxic)	pos	"CD3D,CD3E,CD3G,CD8A,CD8B,GZMB,GZMK,ZNF683,IFNG,LAG3,ZFP36"
Immune	T cell	T cell CD8+	T cell (Cytotoxic)	neg	"CD14,CD19,CD4"
Immune	T cell	ILC	ILC1	pos	"IL2RA,PTPRC,ITGA1,CD69,IL2RB,IL7R,KLRB1,CXCR3,ICOS,IL1R1,IL12RB2,NCR1,TBX21"
Immune	T cell	ILC	ILC1	neg	"PTGDR2,IL17RB,IL23R,NCAM1,NCR2,IL1RL1,EOMES"
Immune	T cell	ILC	ILC1	sec	"IFNG,TNF,IL2,LTA"
Immune	T cell	ILC	ILC2	pos	"IL2RA,PTPRC,THY1,IL7R,KLRB1,PTGDR2,ICOS,IL1R1,IL17RB,KLRG1,ATXN1,IL1RL1,CRLF2,GATA3"
Immune	T cell	ILC	ILC2	neg	"CD4,FCER1A,IL12RB2,NCR2,NCR1"
Immune	T cell	ILC	ILC2	sec	"AREG,IL4,IL5,IL9,IL13"
Immune	T cell	ILC	ILC3 (NCR+)	pos	"CCR6,IL2RA,PTPRC,THY1,IL7R,IL1R1,IL23R,NCR2,NCR1,ATXN1,RORC,AHR"
Immune	T cell	ILC	ILC3 (NCR+)	neg	"CD4,CD8A,CD8B"
Immune	T cell	ILC	ILC3 (NCR+)	sec	"CSF2,IL22,LTA,LTB,TNF"
Immune	T cell	ILC	ILC3 (NCR-)	pos	"CCR6,IL2RA,PTPRC,THY1,IL7R,IL1R1,IL23R,RORC,AHR,TBX21"
Immune	T cell	ILC	ILC3 (NCR-)	neg	"NCAM1,NCR2,NCR1,ATXN1"
Immune	T cell	ILC	ILC3 (NCR-)	sec	"CSF2,IL17A,LTA,LTB"
Immune	T cell	ILC	LTI	pos	"CCR6,CCR7,CD7,IL2RA,CD44,PTPRC,THY1,IL7R,KLRB1,CXCR5,CXCR6,IL1R1,IL2RG,IL23A,ITGA4,ITGB7,RORC"
Immune	T cell	ILC	LTI	neg	"CD4,IL12RB2,NCR1,NCR2"
Immune	T cell	ILC	LTI	sec	"IL17A,IL22,LTA,LTB,TNF"
Immune	T cell	NK cell	NK cell	pos	"NCAM1,KLRD1,IL2RB,FCGR3A,KIR3DX1,KIR3DL1,KIR3DL2,KIR3DL3,KLRC1,KLRK1,NCR3,NCR2,NCR1,KLRF1,TBX21,EOMES"
Immune	T cell	NK cell	NK cell	neg	"CD3D,CD3E,CD3G,IL7R"
Immune	T cell	NK cell	NK cell	sec	"GZMB,IFNG,PRF1"
Immune	T cell	ILC	ILCreg	pos	"IL2RA,PTPRC,THY1,IL2RB,IL7R,ATXN1,TGFBR1,TGFBR2,ID3,SOX4"
Immune	T cell	ILC	ILCreg	neg	"CD4,KLRG1,NCR1,IL1RL1"
Immune	T cell	ILC	ILCreg	sec	"IL10,TGFB1"
Immune	B cell	B cell	B cell (Follicular)	pos	"CD19,MS4A1,CR2,CD22,FCER2,CD24,CD38,CXCR4,CXCR5,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4,IGHD,IGHM,TNFRSF13B,PAX5"
Immune	B cell	B cell	B cell (Follicular)	neg	"CD10,CD27"
Immune	B cell	B cell	B cell (MZ)	pos	"CD1C,CD19,MS4A1,CR2,FCER2,CD27,FCRL3,IGHD,IGHM,TNFRSF13B,EBF1,TCF3,POU2F2,PAX5"
Immune	B cell	B cell	B cell(Memory)	pos	"CD80,CD86,CD19,MS4A1,CR2,FCER2,CD27,CD40,FAS,PTPRJ,TNFRSF13B,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4,POU2AF1,PAX5,SPIB"
Immune	B cell	B cell	B cell(Memory)	neg	"CD38,CD93"
Immune	B cell	Plasma cell	Plasma cell	pos	"TNFRSF17,CD27,CD38,CXCR4,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4,SDC1,PRDM1,IRF4,XBP1,MZB1,JCHAIN"
Immune	B cell	Plasma cell	Plasma cell	neg	"CD10,CD19,MS4A1,IGHD"
Immune	B cell	B cell	B cell (Breg)	pos	"CD1D,CD5,CD19,CR2,CD24,CD38,CD40,IGHM,EBF1,TCF3,POU2F2,PAX5,POU2AF1"
Immune	B cell	B cell	B cell (Breg)	neg	MS4A1
Immune	B cell	B cell	B cell (Breg)	sec	"IL10,TGFB1,TGFB2,TGFB3,EBI3,IL12A"
Immune	Myeloid cell	Macrophage	common	pos	"CD80,CD86,CCR5,ITGAM,ITGAX,CD14,FUT4,CD68,CD163,ADGRE1,FCGR1A,FCGR1B,FCGR2A,FCGR2B,FCGR3A,FCGR3B,LGALS3,TNFRSF18,ITGAL,LAMP2,LILRB4,CSF1R,CD33,TLR2,TLR4,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Macrophage	Macrophage (M1)	pos	"PTGS2,NOS2,IRF5,STAT1,CD80,CD86,CD36,CD68,FCGR2A,FCGR3A,IFNGR1,IFNGR2,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Macrophage	Macrophage (M1)	sec	"CCL2,CCL3,CCL4,CCL5,CCL8,CCL11,CCL15,CCL19,CCL20,CXCL1,CXCL2,CXCL3,CXCL5,CXCL8,CXCL9,CXCL10,CXCL11,CXCL13,CXCL16,CX3CL1,IL1B,IL6,IL12A,IL12B,IL15,IL17A,IL18,IL23A,IFNG,TNF"
Immune	Myeloid cell	Macrophage	Macrophage (M2A)	pos	"IRF4,STAT6,PPARG,CD163,CD200,CLEC10A,CXCR1,CXCR2,CD209,CLEC7A,FCER1A,IL1R2,IL4R,MRC1,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Macrophage	Macrophage (M2A)	sec	"CCL1,CCL2,CCL14,CCL17,CCL18,CCL22,CCL23,CCL24,CCL26,FIZ1,IL1RN,IL10,IL12A,IL12B,TGFB1,TGFB2,TGFB3"
Immune	Myeloid cell	Macrophage	Macrophage (M2B)	pos	"PTGS2,IRF4,SOCS3,SPHK1,SPHK2,CD86,IL4R,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Macrophage	Macrophage (M2B)	sec	"CCL1,CCL20,CXCL1,CXCL2,CXCL3,CSF3,CSF2,IL1B,IL6,IL10,TNF"
Immune	Myeloid cell	Macrophage	Macrophage (M2C)	pos	"IRF4,SOCS3,TLR8,CCR2,SLAMF1,CD163,IL4R,MRC1,MSR1,SCARB1,TLR1"
Immune	Myeloid cell	Macrophage	Macrophage (M2C)	sec	"CCL16,CCL18,CXCL13,IL10,TGFB1,TGFB2,TGFB3"
Immune	Myeloid cell	Macrophage	Macrophage (M2D)	pos	NOS2
Immune	Myeloid cell	Macrophage	Macrophage (M2D)	sec	"CCL5,CXCL10,CXCL16,IL10,IL12A,IL12B,TNF,VEGFA,VEGFB,VEGFC,VEGFD"
Immune	Myeloid cell	Monocyte	Monocyte	pos	"ITGAM,CD14,CD163,CCR2,CCR5,CX3CR1,CSF1R,SELL,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4,FCN1,S100A8,CD2,FCGR3A,PECAM1,NCAM1,CXCR3,CXCR4"
Immune	Myeloid cell	Dendritic cell	DC (Classical)	pos	"CD14,CD80,CD86,CCR7,CD1A,CD1C,ITGAM,ITGAX,CD40,CD83,IL3RA,THBD,CX3CR1,CLEC9A,CD209,EPCAM,CADM1,CD207,XCR1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Dendritic cell	DC (Classical)	neg	CD1A
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	pos	"ITGAX,CLEC4C,IL3RA,NRP1,TCF4,IRF7,IRF8,SPIB,TLR7,TLR9,LILRA4,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	neg	CD1A
Immune	Myeloid cell	Dendritic cell	DC (Plasmacytoid)	sec	"IFNA1,IFNB1,IL6,TNF"
Immune	Myeloid cell	Dendritic cell	DC (Inflammatory)	pos	"CD1A,CD1C,ITGAX,CD14,FCGR1A,FCER1A,MRC1,SIRPA,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Myeloid cell	Dendritic cell	DC (Inflammatory)	sec	"IL23A,NOS1,TNF"
Immune_ext	MDSC	MDSC	MDSC (Granulocytic)	pos	"ITGAM,FUT4,CD33,CEACAM8,FCGR3A,IL4R,FLT1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-DRB3,HLA-DRB4"
Immune	Mast cell	Mast cell	Mast cell	pos	"MITF,CD33,PTPRC,KIT,ENPP3,FCGR2A,FCGR2B,FCER1A,IL3RA,ITGAX,GATA2,TPSB2,TPSAB1,MILR1,CMA1,EDN1,HRH4,IL27RA,LXN,MCPT1,MCPT6,MCEMP1,PAG1,PLSCR1,SRGN,TPSAB1"
Immune	Mast cell	Mast cell	Mast cell	neg	"ITGAM,ITGA2"
Immune_ext	Granulocyte	Basophil	Basophil	pos	"CCR3,CD22,ITGAX,PTPRC,CD69,PTGDR2,ENPP3,FCER1A,IL3RA,ITGA2,CEBPA,CD164,ANPEP,CD24,CD33,SPN,CD44,ICAM1,CD63,LAMP1,CD164,CCR4,SIGLEC8,TLR4,THY1"
Immune_ext	Granulocyte	Basophil	Basophil	neg	KIT,ITGB7,CD3D,CD3E,CD3G,FCER2
Immune_ext	Granulocyte	Eosinophil	Eosinophil	pos	"CCR3,ITGAM,FUT4,PTPRC,CEACAM8,ADGRE1,IL5RA,ITGA4,SIGLEC8,ANPEP,CCR1,CD34,CD4,CD44,CD48,CD58,CD63,CD69,CD80,CD81,CD86,CEBP,CR1,CXCR2,CXCR3,CYSLTR1,FCAR,FCGR3A,GATA1,ICAM1,IL17RA,IL3RA,ITGAL,ITGAX,ITGB1,ITGB2,KLRB1,LTA,LTB4R,SELL,SELP,SELPLG,SPI1,TLR2,TLR4,TLR9,TNF,TNFRSF9,ID1"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	neg	"FCGR3A,FCGR3B"
Immune_ext	Granulocyte	Eosinophil	Eosinophil	sec	"CCL11,CCL24,CCL26,CSF2,CXCL8,IFNG,IL13,IL3,IL33,IL4,IL5,IL6,MMP9"
Immune_ext	Granulocyte	Neutrophil	Neutrophil	pos	"ITGAM,CD14,FUT4,FCGR3A,FCGR2A,CD33,CD44,PTPRC,CEACAM8,ITGB2,SELL,MPO,ARG1,CCR7,CD15,CD177,CD24,CD47,CD63,CD86,CXCR1,CXCR2,CXCR4,ELANE,FLT1,ICAM1,IL17RA,ITGA4,ITGAX,MME,OLFM4,PECAM1,PRTN3,SPN,TLR2,TLR4,TLR5,TLR7,TLR8,TLR9,S100A8"
Immune_ext	Granulocyte	Neutrophil	Neutrophil	neg	ITGA4
Epithelial cell	Epithelial cell	Epithelial cell	Epithelial cell	pos	"MUC1,EPCAM,DDR1,CADM4,MST1R,KLF5,KRT18,KRT19,CLDN1,CLDN3,CLDN4,CLDN12,CAPS,SNTN,CAPS,PIFO,TMEM190"
General	Endothelial cell	Endothelial cell	Endothelial cell	pos	"CD300LG,CD34,CDH5,EGFL7,EMCN,ESAM,FLT1,FLT4,KDR,PODXL,S1PR1,SELE,SELP,TEK,THSD1,THSD7A,VCAM1,VEGFC,VWF"
General	Fibroblast	Fibroblast	Fibroblast	pos	"A2M,ACTA2,C1R,C1S,CADM3,CCDC80,COL1A1,COL1A2,COL3A1,COL5A1,COL6A2,ELN,FAP,FBLN1,FBLN2,LOXL1,LUM,PDGFRA,THY1,DCN,PLA2G2A,RARRES1"
General	Fibroblast	Fibroblast	Fibroblast	neg	EPCAM
General	Smooth muscle cell	Smooth muscle cell	Smooth muscle cell	pos	"ACTA2,ACTG2,CALD1,CNN1,DES,EMILIN2,HEXIM1,HRH2,LGR5,LGR6,MYH11,MYL9,NOTCH3,TAGLN,MCAM,TPM2"
Pancreas	Acinar cell	Acinar cell	Acinar cell	pos	"AKR1C3,ALDOB,AMY2B,ANGPTL4,ANPEP,C15ORF48,CEL,CELA1,CELA2A,CELA3A,CELA3B,CFB,CLPS,CPA1,CPA2,CPB1,CTRB1,CTRB2,CTRC,CXCL17,DUOXA2,GDF15,GSTA1,GSTA2,KLK1,LGALS2,LYZ,MUC1,OLFM4,PDZK1IP1,PLA2G1B,PNLIP,PNLIPRP1,PRSS1,PRSS2,PRSS3,PTF1A,RARRES2,RBPJL,REG1A,REG1B,REG3A,RNASE1,SERPINA3,SPINK1,SYCN,UBD,ZG16"
Pancreas	Alpha cell	Alpha cell	Alpha cell	pos	"ALDH1A1,ARX,CHGA,CRYBA2,DPP4,F10,FAP,FEV,FXYD5,GC,GCG,GLS,GPR119,IRX1,IRX2,KLHL41,LDB2,LOXL4,MAFB,NEUROD1,NKX6-1,PAX6,PCSK2,PEMT,PGR,PLCE1,PTGER3,PYY,RESP18,RFX6,RGS4,SCGB2A1,SCGN,SH3GL2,SLC30A8,SLC38A5,SMARCA1,SMIM24,TM4SF4,TTR,UCP2"
Pancreas	Beta cell	Beta cell	Beta cell	pos	"ADCYAP1,BMP5,CASR,CD40,DLK1,EDARADD,EFNA5,EZH1,FFAR2,FXYD2,G6PC2,GCGR,GJD2,HAMP,HOPX,IAPP,IGF2,INS,ISL1,JPH3,LMX1A,MAFA,MAFB,MEG3,NEUROD1,NKX2-2,NKX6-1,NKX6-2,NPTX2,NTRK1,PAX4,PAX6,PCSK1,PCSK2,PDX1,PFKFB2,PIR,RGS16,RIMS1,SCGB2A1,SCGN,SH3GL2,SIX2,SIX3,SLC2A2,SLC30A8,SMAD9,STXBP5,SYT13,TGFBR3"
Pancreas	Delta cell	Delta cell	Delta cell	pos	"BAIAP3,BCHE,BHLHE41,CASR,EDN3,EHF,ETV1,FFAR4,FRZB,FXYD2,GABRB3,GABRG2,GHSR,GPC5-AS1,HHEX,IAPP,ISL1,KCNK16,LCORL,LEPR,MS4A8,NPTX2,PAX4,PCSK1,PCSK9,PDX1,POU3F1,PRG4,RBP4,RESP18,SCGN,SST,UCP2,UNC5B"
Pancreas	Ductal cell	Ductal cell	Ductal cell	pos	"AKR1C3,ALDH1A3,AMBP,ANXA4,AQP1,CCL2,CFB,CFTR,CLDN1,CLDN10,CLDN4,CTSH,CXCL2,DCDC2,DEFB1,GDF15,HHEX,HNF1B,KRT19,KRT20,KRT7,LAMB3,LGALS4,MMP7,MUC1,PDLIM3,PDX1,PERP,PIGR,S100A10,SERPINA3,SERPINA5,SERPING1,SLC3A1,SLPI,SPP1,TACSTD2,TFF1,TFF2,TSPAN8,VTCN1,WFDC2"
Pancreas	Epsilon cell	Epsilon cell	Epsilon cell	pos	"ACSL1,ADAMTS6,AFF3,ANXA13,APOH,ARX,ASGR1,BHMT,BMP4,C2ORF54,CALCR,CD109,COL12A1,COL22A1,CORIN,COX6A2,ELOVL2,EYA4,FAM124A,FAXDC2,FRZB,GHRL,GHRLOS,HMGCS2,HRH2,ITGA4,KRT8,MYO1A,NKX2-2,NPY1R,OLFML3,OPRK1,PCSK6,PHGR1,PTGER4,S100A6,SLC6A16,SLC7A9,SPINK1,SPTSSB,THSD4,TM4SF5,VSTM2L,VTN,XYLB"
Pancreas	Gamma (PP) cell	Gamma (PP) cell	Gamma (PP) cell	pos	"ABCC9,APOBEC2,AQP3,ARX,CARTPT,CHN2,CMTM8,EGR3,ENTPD2,ETV1,FGB,FXYD2,GPC5-AS1,ISL1,LMO3,MEIS1,NEUROD1,PAX6,PPY,PPY2P,PTGFR,PXK,SCGB2A1,SCGN,SEMA3E,SERTM1,SLITRK6,THSD7A,ZNF503"
Pancreas	Pancreatic progenitor cell	Pancreatic progenitor cell	Pancreatic progenitor cell	pos	"ARX,CTNNB1,EPAS1,MFNG,NEUROG3,NKX2-2,ONECUT1,PDX1,PTF1A,RGS16,RPL23A,SOX9,YAP1"
Pancreas	Stellate cell	Stellate cell	Stellate cell	pos	"COL1A1,COL1A2,COL3A1,COL4A1,COL6A1,COL6A2,COL6A3,FN1,GEM,INHBA,MGP,MMP11,NDUFA4L2,PDGFRA,PDGFRB,RGS5,SFRP2,SPARC,SPON2,TGFB1,THY1,TIMP3,TNFAIP6"
Pancreas	Schwann cell	Schwann cell	Schwann cell	pos	"FIGN,GFRA3,GULP1,INSC,MPZ,NGFR,OLFML2A,SEMA3B,SLITRK2"